        It                   T                   P               E_kin               E_pot               E_tot             Snapsh.
      9600               8.827             0.00000             3.49944          -422.01935          -418.51991                 193
      9700               8.946             0.00000             3.54661          -421.67611          -418.12950                 195
      9800               9.600             0.00000             3.80609          -422.23024          -418.42415                 197
      9900               9.215             0.00000             3.65326          -422.56057          -418.90731                 199
     10000               8.231             0.00000             3.26330          -421.91019          -418.64689                 201
     10100               8.637             0.00000             3.42423          -422.14251          -418.71828                 203
     10200               7.832             0.00000             3.10504          -421.92059          -418.81555                 205
     10300               6.632             0.00000             2.62912          -421.46459          -418.83548                 207
     10400               8.371             0.00000             3.31863          -421.53581          -418.21719                 209
     10500               7.412             0.00000             2.93861          -420.99939          -418.06078                 211
     10600               8.240             0.00000             3.26667          -421.94795          -418.68128                 213
     10700               8.034             0.00000             3.18492          -421.78495          -418.60003                 215
     10800               7.858             0.00000             3.11527          -421.71006          -418.59479                 217
     10900               8.291             0.00000             3.28682          -421.78018          -418.49336                 219
     11000               7.139             0.00000             2.83043          -421.23038          -418.39996                 221
     11100               7.446             0.00000             2.95191          -421.23612          -418.28421                 223
     11200               9.013             0.00000             3.57313          -421.93098          -418.35785                 225
     11300               9.579             0.00000             3.79743          -422.39117          -418.59374                 227
     11400               9.089             0.00000             3.60317          -422.39100          -418.78782                 229
     11500               7.358             0.00000             2.91721          -421.58008          -418.66287                 231
     11600               7.885             0.00000             3.12591          -421.24152          -418.11561                 233
     11700               7.438             0.00000             2.94873          -421.24298          -418.29425                 235
     11800               9.198             0.00000             3.64646          -422.22616          -418.57970                 237
     11900               8.519             0.00000             3.37739          -422.04573          -418.66834                 239
     12000               7.705             0.00000             3.05467          -421.91277          -418.85810                 241
     12100               9.356             0.00000             3.70898          -422.50306          -418.79408                 243
     12200               8.139             0.00000             3.22664          -422.14200          -418.91536                 245
     12300               8.512             0.00000             3.37445          -421.62704          -418.25260                 247
     12400               9.327             0.00000             3.69765          -421.98820          -418.29055                 249
     12500               5.889             0.00000             2.33452          -420.53977          -418.20525                 251
     12600               9.096             0.00000             3.60609          -421.68855          -418.08247                 253
     12700               7.519             0.00000             2.98083          -421.70933          -418.72850                 255
     12800               7.277             0.00000             2.88511          -421.91095          -419.02584                 257
     12900               8.125             0.00000             3.22110          -421.76894          -418.54784                 259
     13000               7.960             0.00000             3.15565          -422.01005          -418.85440                 261
     13100               8.418             0.00000             3.33743          -421.92553          -418.58809                 263
     13200               7.923             0.00000             3.14123          -421.48613          -418.34490                 265
     13300               8.948             0.00000             3.54733          -421.94590          -418.39857                 267
     13400               7.871             0.00000             3.12047          -421.44956          -418.32909                 269
     13500               9.813             0.00000             3.89048          -422.65017          -418.75970                 271
     13600               7.490             0.00000             2.96955          -421.83957          -418.87002                 273
     13700               8.184             0.00000             3.24442          -421.67228          -418.42786                 275
     13800               7.696             0.00000             3.05108          -421.34514          -418.29406                 277
     13900               8.199             0.00000             3.25057          -421.53263          -418.28206                 279
     14000               7.965             0.00000             3.15780          -421.82589          -418.66809                 281
     14100               7.892             0.00000             3.12873          -421.69884          -418.57011                 283
     14200               7.955             0.00000             3.15381          -421.70911          -418.55530                 285
     14300               9.099             0.00000             3.60732          -422.23838          -418.63106                 287
     14400               8.601             0.00000             3.40998          -422.25210          -418.84212                 289
     14500               8.690             0.00000             3.44510          -421.82249          -418.37738                 291
     14600               9.602             0.00000             3.80651          -422.38242          -418.57590                 293
     14700               7.360             0.00000             2.91775          -421.13520          -418.21745                 295
     14800               8.690             0.00000             3.44518          -422.11758          -418.67240                 297
     14900               7.495             0.00000             2.97142          -421.59031          -418.61890                 299
     15000               8.116             0.00000             3.21761          -421.71855          -418.50094                 301
     15100               8.864             0.00000             3.51410          -422.15764          -418.64354                 303
     15200               6.783             0.00000             2.68899          -421.23935          -418.55036                 305
     15300               8.040             0.00000             3.18737          -421.99778          -418.81041                 307
     15400               8.757             0.00000             3.47150          -422.01267          -418.54117                 309
     15500               7.646             0.00000             3.03132          -421.66455          -418.63323                 311
     15600               8.024             0.00000             3.18120          -422.13299          -418.95180                 313
     15700               8.445             0.00000             3.34819          -421.96720          -418.61902                 315
     15800               8.363             0.00000             3.31567          -421.87004          -418.55437                 317
     15900               8.909             0.00000             3.53210          -421.80027          -418.26817                 319
     16000               9.046             0.00000             3.58645          -421.87049          -418.28404                 321
     16100               7.492             0.00000             2.97031          -421.65245          -418.68214                 323
     16200               9.075             0.00000             3.59771          -422.39831          -418.80060                 325
     16300               7.315             0.00000             2.89989          -421.36082          -418.46093                 327
     16400               7.246             0.00000             2.87267          -421.26349          -418.39081                 329
     16500               8.048             0.00000             3.19051          -421.75876          -418.56825                 331
     16600               8.068             0.00000             3.19837          -421.76836          -418.56999                 333
     16700               8.960             0.00000             3.55212          -421.93238          -418.38025                 335
     16800               7.031             0.00000             2.78753          -420.72466          -417.93713                 337
     16900               8.531             0.00000             3.38217          -421.95509          -418.57292                 339
     17000               8.663             0.00000             3.43427          -422.36648          -418.93222                 341
     17100               8.553             0.00000             3.39069          -421.95099          -418.56030                 343
     17200               7.971             0.00000             3.16026          -421.86120          -418.70095                 345
     17300               8.336             0.00000             3.30465          -421.98016          -418.67551                 347
     17400               7.795             0.00000             3.09030          -422.02540          -418.93510                 349
     17500               8.344             0.00000             3.30779          -421.98985          -418.68206                 351
     17600               7.921             0.00000             3.14044          -421.64399          -418.50355                 353
     17700               7.430             0.00000             2.94552          -421.58799          -418.64247                 355
     17800               7.701             0.00000             3.05293          -421.31951          -418.26658                 357
     17900               8.951             0.00000             3.54842          -421.95113          -418.40272                 359
     18000               7.219             0.00000             2.86182          -421.33893          -418.47711                 361
     18100               7.668             0.00000             3.04014          -421.94547          -418.90533                 363
     18200               7.635             0.00000             3.02675          -422.04469          -419.01794                 365
     18300               8.774             0.00000             3.47855          -422.19152          -418.71297                 367
     18400               8.997             0.00000             3.56682          -422.08576          -418.51894                 369
     18500               9.132             0.00000             3.62055          -422.55454          -418.93399                 371
     18600               7.824             0.00000             3.10190          -421.63188          -418.52998                 373
     18700               7.891             0.00000             3.12819          -421.26220          -418.13401                 375
     18800               8.668             0.00000             3.43636          -421.72356          -418.28720                 377
     18900               8.798             0.00000             3.48777          -422.15425          -418.66648                 379
     19000               6.709             0.00000             2.65960          -421.34822          -418.68862                 381
     19100               6.948             0.00000             2.75435          -421.41623          -418.66188                 383
     19200               7.600             0.00000             3.01309          -421.70304          -418.68995                 385
     19300               8.807             0.00000             3.49154          -422.03298          -418.54143                 387
     19400               8.392             0.00000             3.32688          -421.57754          -418.25066                 389
     19500               9.415             0.00000             3.73246          -422.22118          -418.48872                 391
     19600               7.197             0.00000             2.85310          -421.71501          -418.86191                 393
     19700               8.056             0.00000             3.19390          -421.48788          -418.29397                 395
     19800               7.537             0.00000             2.98804          -421.58893          -418.60089                 397
     19900               9.356             0.00000             3.70897          -422.45087          -418.74190                 399
     20000               7.498             0.00000             2.97259          -421.59843          -418.62584                 401
     20100               7.169             0.00000             2.84202          -421.59613          -418.75411                 403
     20200               8.186             0.00000             3.24528          -421.87379          -418.62851                 405
     20300               8.316             0.00000             3.29692          -421.91666          -418.61975                 407
     20400               9.223             0.00000             3.65640          -422.20131          -418.54490                 409
     20500               8.240             0.00000             3.26660          -421.68792          -418.42132                 411
     20600               7.498             0.00000             2.97262          -421.97612          -419.00349                 413
     20700               9.385             0.00000             3.72056          -422.50657          -418.78602                 415
     20800               8.033             0.00000             3.18471          -421.80509          -418.62038                 417
     20900               8.401             0.00000             3.33064          -421.75248          -418.42184                 419
     21000               6.032             0.00000             2.39141          -420.77682          -418.38540                 421
     21100               8.854             0.00000             3.51006          -422.03323          -418.52317                 423
     21200               8.074             0.00000             3.20108          -421.81596          -418.61489                 425
     21300               7.826             0.00000             3.10253          -421.77861          -418.67609                 427
     21400               7.193             0.00000             2.85179          -421.30840          -418.45662                 429
     21500               7.526             0.00000             2.98357          -421.14970          -418.16613                 431
     21600               7.899             0.00000             3.13153          -421.58843          -418.45691                 433
     21700               9.705             0.00000             3.84746          -422.37642          -418.52896                 435
     21800               9.003             0.00000             3.56934          -422.05289          -418.48355                 437
     21900               8.693             0.00000             3.44628          -422.23641          -418.79013                 439
     22000               7.964             0.00000             3.15741          -422.16839          -419.01097                 441
     22100               8.302             0.00000             3.29129          -421.85554          -418.56425                 443
     22200               6.962             0.00000             2.76013          -421.07870          -418.31857                 445
     22300               7.750             0.00000             3.07249          -421.71147          -418.63898                 447
