        It                   T                   P               E_kin               E_pot               E_tot             Snapsh.
        99               0.820             0.00000             0.32495          -418.59647          -418.27152                   -
       100               0.823             0.00000             0.32631          -418.59656          -418.27025                   -
       101               0.837             0.00000             0.33181          -418.59895          -418.26714                   -
       102               0.860             0.00000             0.34106          -418.60393          -418.26287                   -
       103               0.894             0.00000             0.35442          -418.61269          -418.25827                   -
       104               0.938             0.00000             0.37185          -418.62587          -418.25402                   -
       105               0.988             0.00000             0.39185          -418.64225          -418.25040                   -
       106               1.039             0.00000             0.41201          -418.65930          -418.24730                   -
       107               1.086             0.00000             0.43047          -418.67493          -418.24446                   -
       108               1.126             0.00000             0.44651          -418.68820          -418.24169                   -
       109               1.159             0.00000             0.45961          -418.69853          -418.23891                   -
       110               1.182             0.00000             0.46857          -418.70473          -418.23616                   -
       111               1.190             0.00000             0.47197          -418.70558          -418.23361                   -
       112               1.185             0.00000             0.46960          -418.70121          -418.23162                   -
       113               1.168             0.00000             0.46287          -418.69345          -418.23058                   -
       114               1.144             0.00000             0.45370          -418.68442          -418.23072                   -
       115               1.118             0.00000             0.44322          -418.67505          -418.23184                   -
       116               1.089             0.00000             0.43170          -418.66510          -418.23341                   -
       117               1.059             0.00000             0.41967          -418.65449          -418.23482                   -
       118               1.030             0.00000             0.40837          -418.64399          -418.23562                   -
       119               1.006             0.00000             0.39898          -418.63459          -418.23561                   -
       120               0.988             0.00000             0.39182          -418.62667          -418.23486                   -
       121               0.975             0.00000             0.38657          -418.62026          -418.23369                   -
       122               0.967             0.00000             0.38324          -418.61589          -418.23266                   -
       123               0.965             0.00000             0.38247          -418.61487          -418.23241                   -
       124               0.971             0.00000             0.38487          -418.61825          -418.23338                   -
       125               0.984             0.00000             0.39030          -418.62597          -418.23568                   -
       126               1.004             0.00000             0.39806          -418.63710          -418.23903                   -
       127               1.028             0.00000             0.40762          -418.65069          -418.24308                   -
       128               1.056             0.00000             0.41862          -418.66607          -418.24745                   -
       129               1.086             0.00000             0.43042          -418.68231          -418.25190                   -
       130               1.114             0.00000             0.44184          -418.69815          -418.25631                   -
       131               1.140             0.00000             0.45194          -418.71270          -418.26077                   -
