        It                   T                   P               E_kin               E_pot               E_tot             Snapsh.
        90             300.000             0.00000          1120.48644         -4081.60031         -2961.11387                  19
        91             300.000             0.00000          1120.48644         -4066.07628         -2945.58984                   -
        92             300.000             0.00000          1120.48644         -4064.89802         -2944.41158                   -
        93             300.000             0.00000          1120.48644         -4071.19195         -2950.70551                   -
        94             300.000             0.00000          1120.48644         -4078.40041         -2957.91397                   -
        95             300.000             0.00000          1120.48644         -4082.33102         -2961.84458                  20
        96             300.000             0.00000          1120.48644         -4076.47165         -2955.98520                   -
        97             300.000             0.00000          1120.48644         -4058.16194         -2937.67550                   -
        98             300.000             0.00000          1120.48644         -4035.68769         -2915.20125                   -
        99             300.000             0.00000          1120.48644         -4020.36598         -2899.87954                   -
       100             300.000             0.00000          1120.48644         -4015.24334         -2894.75689                  21
       101             300.000             0.00000          1120.48644         -4017.52076         -2897.03431                   -
       102             300.000             0.00000          1120.48644         -4024.48861         -2904.00216                   -
       103             300.000             0.00000          1120.48644         -4029.74868         -2909.26223                   -
       104             300.000             0.00000          1120.48644         -4023.10891         -2902.62247                   -
       105             300.000             0.00000          1120.48644         -4003.00392         -2882.51748                  22
       106             300.000             0.00000          1120.48644         -3981.02387         -2860.53743                   -
       107             300.000             0.00000          1120.48644         -3967.07976         -2846.59332                   -
       108             300.000             0.00000          1120.48644         -3959.23778         -2838.75134                   -
       109             300.000             0.00000          1120.48644         -3955.45285         -2834.96641                   -
       110             300.000             0.00000          1120.48644         -3961.03511         -2840.54867                  23
       111             300.000             0.00000          1120.48644         -3972.87469         -2852.38825                   -
       112             300.000             0.00000          1120.48644         -3972.42752         -2851.94108                   -
       113             300.000             0.00000          1120.48644         -3950.39397         -2829.90752                   -
       114             300.000             0.00000          1120.48644         -3924.39999         -2803.91355                   -
       115             300.000             0.00000          1120.48644         -3915.44333         -2794.95689                  24
       116             300.000             0.00000          1120.48644         -3917.92280         -2797.43636                   -
       117             300.000             0.00000          1120.48644         -3915.10580         -2794.61935                   -
       118             300.000             0.00000          1120.48644         -3911.64986         -2791.16342                   -
       119             300.000             0.00000          1120.48644         -3921.52048         -2801.03404                   -
       120             300.000             0.00000          1120.48644         -3933.35126         -2812.86482                  25
       121             300.000             0.00000          1120.48644         -3921.96156         -2801.47512                   -
       122             300.000             0.00000          1120.48644         -3891.18121         -2770.69477                   -
       123             300.000             0.00000          1120.48644         -3872.12735         -2751.64091                   -
       124             300.000             0.00000          1120.48644         -3876.35324         -2755.86680                   -
       125             300.000             0.00000          1120.48644         -3882.43585         -2761.94941                  26
       126             300.000             0.00000          1120.48644         -3878.87928         -2758.39284                   -
       127             300.000             0.00000          1120.48644         -3881.83987         -2761.35342                   -
       128             300.000             0.00000          1120.48644         -3896.76226         -2776.27582                   -
       129             300.000             0.00000          1120.48644         -3899.77333         -2779.28689                   -
       130             300.000             0.00000          1120.48644         -3879.39657         -2758.91013                  27
       131             300.000             0.00000          1120.48644         -3862.79987         -2742.31343                   -
       132             300.000             0.00000          1120.48644         -3874.59152         -2754.10508                   -
       133             300.000             0.00000          1120.48644         -3895.65515         -2775.16870                   -
       134             300.000             0.00000          1120.48644         -3898.04280         -2777.55636                   -
       135             300.000             0.00000          1120.48644         -3892.91949         -2772.43305                  28
