        It                   T                   P               E_kin               E_pot               E_tot             Snapsh.             E_ia(# 0)             E_ia(# 1)             E_ia(# 2)             E_ia(# 3)             E_ia(# 4)             E_ia(# 5)
       186             111.663             0.00000             4.32699             3.22735             7.55435                   -             0.00000             0.00000             0.00000             1.17451             0.00000             0.57484
       187             112.263             0.00000             4.35024             3.43474             7.78497                   -             0.00000             0.00000             0.00000             1.17579             0.00000             0.57453
       188             112.862             0.00000             4.37348             3.79922             8.17270                   -             0.00000             0.00000             0.00000             1.17659             0.00000             0.57616
       189             113.462             0.00000             4.39672             3.91124             8.30796                   -             0.00000             0.00000             0.00000             1.17530             0.00000             0.58036
       190             114.062             0.00000             4.41996             3.66915             8.08911                   -             0.00000             0.00000             0.00000             1.17110             0.00000             0.58711
       191             114.662             0.00000             4.44321             3.44301             7.88621                   -             0.00000             0.00000             0.00000             1.16452             0.00000             0.59555
       192             115.262             0.00000             4.46645             3.63070             8.09715                   -             0.00000             0.00000             0.00000             1.15692             0.00000             0.60445
       193             115.861             0.00000             4.48969             4.23349             8.72318                   -             0.00000             0.00000             0.00000             1.14983             0.00000             0.61256
       194             116.461             0.00000             4.51293             4.84946             9.36239                   -             0.00000             0.00000             0.00000             1.14469             0.00000             0.61850
       195             117.061             0.00000             4.53618             5.00892             9.54509                   -             0.00000             0.00000             0.00000             1.14287             0.00000             0.62082
       196             117.661             0.00000             4.55942             4.71041             9.26983                   -             0.00000             0.00000             0.00000             1.14497             0.00000             0.61889
       197             118.261             0.00000             4.58266             4.43389             9.01655                   -             0.00000             0.00000             0.00000             1.15028             0.00000             0.61365
       198             118.860             0.00000             4.60590             4.49320             9.09910                   -             0.00000             0.00000             0.00000             1.15731             0.00000             0.60671
       199             119.460             0.00000             4.62915             4.69708             9.32623                   -             0.00000             0.00000             0.00000             1.16436             0.00000             0.59953
       200             120.060             0.00000             4.65239             4.57681             9.22920                   3             0.00000             0.00000             0.00000             1.16968             0.00000             0.59323
       201             120.660             0.00000             4.67563             3.94413             8.61976                   -             0.00000             0.00000             0.00000             1.17193             0.00000             0.58850
       202             121.260             0.00000             4.69887             3.19206             7.89093                   -             0.00000             0.00000             0.00000             1.17109             0.00000             0.58530
       203             121.859             0.00000             4.72212             2.83135             7.55347                   -             0.00000             0.00000             0.00000             1.16841             0.00000             0.58289
       204             122.459             0.00000             4.74536             2.98269             7.72804                   -             0.00000             0.00000             0.00000             1.16554             0.00000             0.58028
       205             123.059             0.00000             4.76860             3.36418             8.13278                   -             0.00000             0.00000             0.00000             1.16409             0.00000             0.57662
       206             123.659             0.00000             4.79184             3.59193             8.38377                   -             0.00000             0.00000             0.00000             1.16544             0.00000             0.57147
       207             124.259             0.00000             4.81509             3.58623             8.40132                   -             0.00000             0.00000             0.00000             1.17036             0.00000             0.56510
       208             124.858             0.00000             4.83833             3.67131             8.50964                   -             0.00000             0.00000             0.00000             1.17861             0.00000             0.55842
       209             125.458             0.00000             4.86157             4.16259             9.02416                   -             0.00000             0.00000             0.00000             1.18929             0.00000             0.55236
       210             126.058             0.00000             4.88481             4.99168             9.87649                   -             0.00000             0.00000             0.00000             1.20124             0.00000             0.54765
       211             126.658             0.00000             4.90806             5.71536            10.62342                   -             0.00000             0.00000             0.00000             1.21303             0.00000             0.54488
       212             127.258             0.00000             4.93130             5.89879            10.83009                   -             0.00000             0.00000             0.00000             1.22282             0.00000             0.54445
       213             127.857             0.00000             4.95454             5.66596            10.62051                   -             0.00000             0.00000             0.00000             1.22916             0.00000             0.54622
       214             128.457             0.00000             4.97778             5.58731            10.56510                   -             0.00000             0.00000             0.00000             1.23227             0.00000             0.54935
       215             129.057             0.00000             5.00103             5.97698            10.97801                   -             0.00000             0.00000             0.00000             1.23368             0.00000             0.55281
       216             129.657             0.00000             5.02427             6.59875            11.62302                   -             0.00000             0.00000             0.00000             1.23531             0.00000             0.55559
       217             130.257             0.00000             5.04751             6.91071            11.95822                   -             0.00000             0.00000             0.00000             1.23875             0.00000             0.55674
       218             130.856             0.00000             5.07075             6.66558            11.73634                   -             0.00000             0.00000             0.00000             1.24466             0.00000             0.55578
       219             131.456             0.00000             5.09400             6.29364            11.38764                   -             0.00000             0.00000             0.00000             1.25214             0.00000             0.55307
       220             132.056             0.00000             5.11724             6.36431            11.48155                   -             0.00000             0.00000             0.00000             1.25928             0.00000             0.54963
       221             132.656             0.00000             5.14048             6.93540            12.07588                   -             0.00000             0.00000             0.00000             1.26384             0.00000             0.54643
       222             133.256             0.00000             5.16372             7.50980            12.67352                   -             0.00000             0.00000             0.00000             1.26350             0.00000             0.54431
       223             133.855             0.00000             5.18697             7.47867            12.66564                   -             0.00000             0.00000             0.00000             1.25666             0.00000             0.54390
       224             134.455             0.00000             5.21021             6.85697            12.06718                   -             0.00000             0.00000             0.00000             1.24421             0.00000             0.54536
       225             135.055             0.00000             5.23345             6.32962            11.56308                   -             0.00000             0.00000             0.00000             1.22919             0.00000             0.54815
       226             135.655             0.00000             5.25670             6.39994            11.65663                   -             0.00000             0.00000             0.00000             1.21449             0.00000             0.55145
       227             136.255             0.00000             5.27994             6.94321            12.22315                   -             0.00000             0.00000             0.00000             1.20207             0.00000             0.55444
       228             136.854             0.00000             5.30318             7.41234            12.71552                   -             0.00000             0.00000             0.00000             1.19342             0.00000             0.55631
       229             137.454             0.00000             5.32642             7.39969            12.72611                   -             0.00000             0.00000             0.00000             1.18982             0.00000             0.55642
       230             138.054             0.00000             5.34967             7.17139            12.52105                   -             0.00000             0.00000             0.00000             1.19157             0.00000             0.55480
       231             138.654             0.00000             5.37291             7.35449            12.72740                   -             0.00000             0.00000             0.00000             1.19784             0.00000             0.55221
       232             139.254             0.00000             5.39615             8.19112            13.58727                   -             0.00000             0.00000             0.00000             1.20763             0.00000             0.54969
       233             139.853             0.00000             5.41939             9.31380            14.73320                   -             0.00000             0.00000             0.00000             1.22030             0.00000             0.54824
       234             140.453             0.00000             5.44264            10.02892            15.47156                   -             0.00000             0.00000             0.00000             1.23539             0.00000             0.54882
       235             141.053             0.00000             5.46588            10.04238            15.50826                   -             0.00000             0.00000             0.00000             1.25209             0.00000             0.55200
       236             141.653             0.00000             5.48912             9.94373            15.43285                   -             0.00000             0.00000             0.00000             1.27003             0.00000             0.55744
       237             142.253             0.00000             5.51236            10.45617            15.96853                   -             0.00000             0.00000             0.00000             1.29070             0.00000             0.56426
       238             142.852             0.00000             5.53561            11.64360            17.17921                   -             0.00000             0.00000             0.00000             1.31771             0.00000             0.57151
       239             143.452             0.00000             5.55885            12.90097            18.45982                   -             0.00000             0.00000             0.00000             1.35651             0.00000             0.57813
       240             144.052             0.00000             5.58209            13.44221            19.02430                   -             0.00000             0.00000             0.00000             1.41205             0.00000             0.58263
       241             144.652             0.00000             5.60533            13.24071            18.84604                   -             0.00000             0.00000             0.00000             1.48362             0.00000             0.58392
       242             145.252             0.00000             5.62858            13.16519            18.79376                   -             0.00000             0.00000             0.00000             1.56469             0.00000             0.58247
       243             145.851             0.00000             5.65182            13.80597            19.45779                   -             0.00000             0.00000             0.00000             1.64836             0.00000             0.57985
       244             146.451             0.00000             5.67506            14.85198            20.52705                   -             0.00000             0.00000             0.00000             1.72838             0.00000             0.57776
       245             147.051             0.00000             5.69830            15.32754            21.02584                   -             0.00000             0.00000             0.00000             1.79459             0.00000             0.57769
       246             147.651             0.00000             5.72155            14.54557            20.26712                   -             0.00000             0.00000             0.00000             1.83202             0.00000             0.58058
       247             148.251             0.00000             5.74479            13.16437            18.90916                   -             0.00000             0.00000             0.00000             1.83433             0.00000             0.58590
       248             148.850             0.00000             5.76803            12.33817            18.10620                   -             0.00000             0.00000             0.00000             1.80935             0.00000             0.59219
       249             149.450             0.00000             5.79127            12.44894            18.24022                   -             0.00000             0.00000             0.00000             1.76784             0.00000             0.59787
       250             150.050             0.00000             5.81452            13.06877            18.88329                   -             0.00000             0.00000             0.00000             1.71694             0.00000             0.60144
       251             150.650             0.00000             5.83776            13.48817            19.32593                   -             0.00000             0.00000             0.00000             1.66120             0.00000             0.60142
       252             151.250             0.00000             5.86100            13.44918            19.31018                   -             0.00000             0.00000             0.00000             1.60479             0.00000             0.59716
       253             151.849             0.00000             5.88424            13.47823            19.36248                   -             0.00000             0.00000             0.00000             1.55009             0.00000             0.58963
       254             152.449             0.00000             5.90749            14.16226            20.06974                   -             0.00000             0.00000             0.00000             1.49580             0.00000             0.58059
       255             153.049             0.00000             5.93073            15.40842            21.33915                   -             0.00000             0.00000             0.00000             1.43874             0.00000             0.57148
       256             153.649             0.00000             5.95397            16.40239            22.35636                   -             0.00000             0.00000             0.00000             1.37759             0.00000             0.56330
       257             154.249             0.00000             5.97721            16.23137            22.20859                   -             0.00000             0.00000             0.00000             1.31729             0.00000             0.55694
       258             154.848             0.00000             6.00046            15.05083            21.05129                   -             0.00000             0.00000             0.00000             1.26655             0.00000             0.55269
       259             155.448             0.00000             6.02370            13.90741            19.93111                   -             0.00000             0.00000             0.00000             1.22915             0.00000             0.54974
       260             156.048             0.00000             6.04694            13.38423            19.43118                   -             0.00000             0.00000             0.00000             1.20368             0.00000             0.54685
       261             156.648             0.00000             6.07019            13.28092            19.35110                   -             0.00000             0.00000             0.00000             1.18769             0.00000             0.54299
       262             157.248             0.00000             6.09343            13.12713            19.22055                   -             0.00000             0.00000             0.00000             1.17937             0.00000             0.53765
       263             157.847             0.00000             6.11667            12.79963            18.91630                   -             0.00000             0.00000             0.00000             1.17697             0.00000             0.53106
       264             158.447             0.00000             6.13991            12.68697            18.82688                   -             0.00000             0.00000             0.00000             1.17836             0.00000             0.52402
       265             159.047             0.00000             6.16316            13.20617            19.36932                   -             0.00000             0.00000             0.00000             1.18126             0.00000             0.51737
       266             159.647             0.00000             6.18640            14.34196            20.52836                   -             0.00000             0.00000             0.00000             1.18377             0.00000             0.51174
       267             160.247             0.00000             6.20964            15.60635            21.81599                   -             0.00000             0.00000             0.00000             1.18453             0.00000             0.50762
       268             160.846             0.00000             6.23288            16.33033            22.56321                   -             0.00000             0.00000             0.00000             1.18300             0.00000             0.50557
       269             161.446             0.00000             6.25613            16.24767            22.50379                   -             0.00000             0.00000             0.00000             1.18000             0.00000             0.50586
       270             162.046             0.00000             6.27937            15.75002            22.02939                   -             0.00000             0.00000             0.00000             1.17763             0.00000             0.50822
       271             162.646             0.00000             6.30261            15.27119            21.57381                   -             0.00000             0.00000             0.00000             1.17816             0.00000             0.51195
       272             163.246             0.00000             6.32585            14.74843            21.07428                   -             0.00000             0.00000             0.00000             1.18325             0.00000             0.51634
       273             163.845             0.00000             6.34910            13.78998            20.13907                   -             0.00000             0.00000             0.00000             1.19368             0.00000             0.52070
       274             164.445             0.00000             6.37234            12.24534            18.61768                   -             0.00000             0.00000             0.00000             1.20882             0.00000             0.52452
       275             165.045             0.00000             6.39558            10.50559            16.90117                   -             0.00000             0.00000             0.00000             1.22672             0.00000             0.52769
       276             165.645             0.00000             6.41882             9.12418            15.54300                   -             0.00000             0.00000             0.00000             1.24499             0.00000             0.53059
       277             166.245             0.00000             6.44207             8.33337            14.77544                   -             0.00000             0.00000             0.00000             1.26170             0.00000             0.53389
       278             166.844             0.00000             6.46531             7.97798            14.44328                   -             0.00000             0.00000             0.00000             1.27559             0.00000             0.53836
       279             167.444             0.00000             6.48855             7.74863            14.23718                   -             0.00000             0.00000             0.00000             1.28620             0.00000             0.54462
       280             168.044             0.00000             6.51179             7.47099            13.98278                   -             0.00000             0.00000             0.00000             1.29420             0.00000             0.55298
       281             168.644             0.00000             6.53504             7.22576            13.76079                   -             0.00000             0.00000             0.00000             1.30142             0.00000             0.56329
       282             169.244             0.00000             6.55828             7.18777            13.74604                   -             0.00000             0.00000             0.00000             1.31025             0.00000             0.57495
       283             169.843             0.00000             6.58152             7.39345            13.97498                   -             0.00000             0.00000             0.00000             1.32271             0.00000             0.58699
       284             170.443             0.00000             6.60476             7.69243            14.29719                   -             0.00000             0.00000             0.00000             1.33960             0.00000             0.59812
       285             171.043             0.00000             6.62801             7.89151            14.51952                   -             0.00000             0.00000             0.00000             1.35981             0.00000             0.60693
       286             171.643             0.00000             6.65125             7.92916            14.58041                   -             0.00000             0.00000             0.00000             1.37978             0.00000             0.61234
       287             172.243             0.00000             6.67449             7.88810            14.56259                   -             0.00000             0.00000             0.00000             1.39422             0.00000             0.61421
       288             172.842             0.00000             6.69773             7.83956            14.53730                   -             0.00000             0.00000             0.00000             1.39795             0.00000             0.61333
       289             173.442             0.00000             6.72098             7.72984            14.45082                   -             0.00000             0.00000             0.00000             1.38798             0.00000             0.61087
       290             174.042             0.00000             6.74422             7.44029            14.18451                   -             0.00000             0.00000             0.00000             1.36509             0.00000             0.60785
       291             174.642             0.00000             6.76746             6.93389            13.70136                   -             0.00000             0.00000             0.00000             1.33383             0.00000             0.60485
       292             175.242             0.00000             6.79070             6.30828            13.09899                   -             0.00000             0.00000             0.00000             1.30044             0.00000             0.60188
       293             175.841             0.00000             6.81395             5.70282            12.51676                   -             0.00000             0.00000             0.00000             1.27001             0.00000             0.59858
       294             176.441             0.00000             6.83719             5.19769            12.03488                   -             0.00000             0.00000             0.00000             1.24521             0.00000             0.59449
       295             177.041             0.00000             6.86043             4.81608            11.67651                   -             0.00000             0.00000             0.00000             1.22649             0.00000             0.58931
       296             177.641             0.00000             6.88367             4.58367            11.46734                   -             0.00000             0.00000             0.00000             1.21285             0.00000             0.58307
       297             178.241             0.00000             6.90692             4.54613            11.45305                   -             0.00000             0.00000             0.00000             1.20244             0.00000             0.57620
       298             178.840             0.00000             6.93016             4.71903            11.64919                   -             0.00000             0.00000             0.00000             1.19317             0.00000             0.56932
       299             179.440             0.00000             6.95340             5.03443            11.98783                   -             0.00000             0.00000             0.00000             1.18319             0.00000             0.56317
       300             180.040             0.00000             6.97665             5.35231            12.32895                   4             0.00000             0.00000             0.00000             1.17145             0.00000             0.55839
       301             180.640             0.00000             6.99989             5.53858            12.53847                   -             0.00000             0.00000             0.00000             1.15803             0.00000             0.55543
       302             181.240             0.00000             7.02313             5.54104            12.56417                   -             0.00000             0.00000             0.00000             1.14418             0.00000             0.55450
       303             181.839             0.00000             7.04637             5.38727            12.43365                   -             0.00000             0.00000             0.00000             1.13179             0.00000             0.55547
       304             182.439             0.00000             7.06962             5.12017            12.18978                   -             0.00000             0.00000             0.00000             1.12258             0.00000             0.55798
       305             183.039             0.00000             7.09286             4.76312            11.85597                   -             0.00000             0.00000             0.00000             1.11761             0.00000             0.56146
       306             183.639             0.00000             7.11610             4.35290            11.46900                   -             0.00000             0.00000             0.00000             1.11706             0.00000             0.56532
       307             184.239             0.00000             7.13934             3.98291            11.12226                   -             0.00000             0.00000             0.00000             1.12020             0.00000             0.56902
       308             184.838             0.00000             7.16259             3.78921            10.95180                   -             0.00000             0.00000             0.00000             1.12559             0.00000             0.57226
       309             185.438             0.00000             7.18583             3.88385            11.06968                   -             0.00000             0.00000             0.00000             1.13137             0.00000             0.57501
       310             186.038             0.00000             7.20907             4.29225            11.50132                   -             0.00000             0.00000             0.00000             1.13563             0.00000             0.57745
       311             186.638             0.00000             7.23231             4.93577            12.16808                   -             0.00000             0.00000             0.00000             1.13677             0.00000             0.57985
       312             187.238             0.00000             7.25556             5.66285            12.91840                   -             0.00000             0.00000             0.00000             1.13399             0.00000             0.58241
       313             187.837             0.00000             7.27880             6.31082            13.58962                   -             0.00000             0.00000             0.00000             1.12759             0.00000             0.58511
       314             188.437             0.00000             7.30204             6.76571            14.06775                   -             0.00000             0.00000             0.00000             1.11905             0.00000             0.58768
       315             189.037             0.00000             7.32528             6.98200            14.30729                   -             0.00000             0.00000             0.00000             1.11048             0.00000             0.58958
       316             189.637             0.00000             7.34853             6.96068            14.30921                   -             0.00000             0.00000             0.00000             1.10384             0.00000             0.59024
       317             190.237             0.00000             7.37177             6.73128            14.10305                   -             0.00000             0.00000             0.00000             1.10027             0.00000             0.58924
       318             190.836             0.00000             7.39501             6.36428            13.75929                   -             0.00000             0.00000             0.00000             1.10000             0.00000             0.58655
       319             191.436             0.00000             7.41825             5.97694            13.39520                   -             0.00000             0.00000             0.00000             1.10241             0.00000             0.58255
       320             192.036             0.00000             7.44150             5.69256            13.13406                   -             0.00000             0.00000             0.00000             1.10645             0.00000             0.57791
       321             192.636             0.00000             7.46474             5.57823            13.04297                   -             0.00000             0.00000             0.00000             1.11094             0.00000             0.57339
       322             193.236             0.00000             7.48798             5.61869            13.10667                   -             0.00000             0.00000             0.00000             1.11497             0.00000             0.56970
       323             193.835             0.00000             7.51122             5.74565            13.25687                   -             0.00000             0.00000             0.00000             1.11820             0.00000             0.56740
       324             194.435             0.00000             7.53447             5.89136            13.42583                   -             0.00000             0.00000             0.00000             1.12104             0.00000             0.56685
       325             195.035             0.00000             7.55771             6.02263            13.58034                   -             0.00000             0.00000             0.00000             1.12473             0.00000             0.56823
       326             195.635             0.00000             7.58095             6.14060            13.72155                   -             0.00000             0.00000             0.00000             1.13093             0.00000             0.57157
       327             196.235             0.00000             7.60419             6.26558            13.86978                   -             0.00000             0.00000             0.00000             1.14132             0.00000             0.57676
       328             196.834             0.00000             7.62744             6.42565            14.05309                   -             0.00000             0.00000             0.00000             1.15711             0.00000             0.58365
       329             197.434             0.00000             7.65068             6.64890            14.29958                   -             0.00000             0.00000             0.00000             1.17860             0.00000             0.59206
       330             198.034             0.00000             7.67392             6.95803            14.63195                   -             0.00000             0.00000             0.00000             1.20470             0.00000             0.60193
       331             198.634             0.00000             7.69716             7.37203            15.06919                   -             0.00000             0.00000             0.00000             1.23248             0.00000             0.61337
       332             199.234             0.00000             7.72041             7.90699            15.62739                   -             0.00000             0.00000             0.00000             1.25710             0.00000             0.62673
       333             199.833             0.00000             7.74365             8.55413            16.29778                   -             0.00000             0.00000             0.00000             1.27278             0.00000             0.64261
       334             200.433             0.00000             7.76689             9.23453            17.00142                   -             0.00000             0.00000             0.00000             1.27478             0.00000             0.66177
       335             201.033             0.00000             7.79014             9.77693            17.56706                   -             0.00000             0.00000             0.00000             1.26169             0.00000             0.68483
       336             201.633             0.00000             7.81338             9.98195            17.79533                   -             0.00000             0.00000             0.00000             1.23643             0.00000             0.71162
       337             202.233             0.00000             7.83662             9.77038            17.60700                   -             0.00000             0.00000             0.00000             1.20505             0.00000             0.74051
       338             202.832             0.00000             7.85986             9.28292            17.14279                   -             0.00000             0.00000             0.00000             1.17359             0.00000             0.76817
       339             203.432             0.00000             7.88311             8.80177            16.68488                   -             0.00000             0.00000             0.00000             1.14571             0.00000             0.79043
       340             204.032             0.00000             7.90635             8.57671            16.48306                   -             0.00000             0.00000             0.00000             1.12241             0.00000             0.80359
       341             204.632             0.00000             7.92959             8.72648            16.65607                   -             0.00000             0.00000             0.00000             1.10313             0.00000             0.80536
       342             205.232             0.00000             7.95283             9.24837            17.20120                   -             0.00000             0.00000             0.00000             1.08674             0.00000             0.79532
       343             205.831             0.00000             7.97608            10.06458            18.04065                   -             0.00000             0.00000             0.00000             1.07214             0.00000             0.77483
       344             206.431             0.00000             7.99932            11.04651            19.04583                   -             0.00000             0.00000             0.00000             1.05853             0.00000             0.74665
       345             207.031             0.00000             8.02256            12.01158            20.03414                   -             0.00000             0.00000             0.00000             1.04573             0.00000             0.71428
       346             207.631             0.00000             8.04580            12.72831            20.77411                   -             0.00000             0.00000             0.00000             1.03422             0.00000             0.68129
       347             208.231             0.00000             8.06905            12.97574            21.04479                   -             0.00000             0.00000             0.00000             1.02515             0.00000             0.65069
       348             208.830             0.00000             8.09229            12.65832            20.75061                   -             0.00000             0.00000             0.00000             1.01989             0.00000             0.62445
       349             209.430             0.00000             8.11553            11.88927            20.00480                   -             0.00000             0.00000             0.00000             1.01946             0.00000             0.60334
       350             210.030             0.00000             8.13877            10.95095            19.08972                   -             0.00000             0.00000             0.00000             1.02427             0.00000             0.58714
       351             210.630             0.00000             8.16202            10.16993            18.33194                   -             0.00000             0.00000             0.00000             1.03417             0.00000             0.57513
       352             211.230             0.00000             8.18526             9.81456            17.99982                   -             0.00000             0.00000             0.00000             1.04874             0.00000             0.56651
       353             211.829             0.00000             8.20850            10.05344            18.26194                   -             0.00000             0.00000             0.00000             1.06742             0.00000             0.56056
       354             212.429             0.00000             8.23174            10.94515            19.17690                   -             0.00000             0.00000             0.00000             1.08958             0.00000             0.55672
       355             213.029             0.00000             8.25499            12.42830            20.68329                   -             0.00000             0.00000             0.00000             1.11443             0.00000             0.55459
       356             213.629             0.00000             8.27823            14.30634            22.58457                   -             0.00000             0.00000             0.00000             1.14078             0.00000             0.55393
       357             214.229             0.00000             8.30147            16.24536            24.54683                   -             0.00000             0.00000             0.00000             1.16677             0.00000             0.55465
       358             214.828             0.00000             8.32471            17.82670            26.15141                   -             0.00000             0.00000             0.00000             1.18968             0.00000             0.55682
       359             215.428             0.00000             8.34796            18.69541            27.04336                   -             0.00000             0.00000             0.00000             1.20648             0.00000             0.56058
       360             216.028             0.00000             8.37120            18.73157            27.10277                   -             0.00000             0.00000             0.00000             1.21539             0.00000             0.56605
       361             216.628             0.00000             8.39444            18.06632            26.46076                   -             0.00000             0.00000             0.00000             1.21667             0.00000             0.57322
       362             217.228             0.00000             8.41768            16.95821            25.37589                   -             0.00000             0.00000             0.00000             1.21193             0.00000             0.58198
       363             217.827             0.00000             8.44093            15.71095            24.15188                   -             0.00000             0.00000             0.00000             1.20292             0.00000             0.59213
       364             218.427             0.00000             8.46417            14.63985            23.10402                   -             0.00000             0.00000             0.00000             1.19108             0.00000             0.60348
       365             219.027             0.00000             8.48741            13.99171            22.47912                   -             0.00000             0.00000             0.00000             1.17746             0.00000             0.61603
